EN_WORD,WORD,DEFINITION
abelmosk,abelmosk,"вечнозеленый шруб (Hibiscus — ранее Абелмоск — moschatus), из Восточной и Западной Индий и Северной Африки, семена муски которого используются в парфюмерии и для вкуса кофе; — иногда называют муском малове."
aber-de-vine,Европейская,"Европейский сискин (Carduelis spinus), небольшой зеленый и желтый фунт, связанный с золотым фунтом."
aberr,Аберр,для прогулок; для стрельбы.
aberrance,Aberrance,Alt. of Aberrancy
aberrancy,"Извращенность,","состояние аберранта; отклонение от правильного пути; отклонение от истины, справедливости и т.д."
aberrant,Сбиваясь,Прогулка; прогулка с правильного пути.
aberrant,aberrant,отклонение от обычного или естественного типа; исключительное; аномальное.
aberrate,Отклоняйся,для отклонения; для отклонения.
aberration,"Отклонение,","акт бегания; отклонение, особенно от истины или нравственной правды, от естественного состояния или от типа."
aberration,Неполное,частичное отчуждение разума.
aberration,Небольшое,"небольшое периодическое изменение положения в звездах и других небесных телах, из-за совместного эффекта движения света и движения наблюдателя; называется ежегодным аберрацией, когда движение наблюдателя является движением Земли в ее орбите, и ежедневным или ежедневным аберрацией, когда земли на ее оси; рассчитывая, когда наибольшее, в предыдущем случае, до 20,4» и в последнем, до 0,3»."
aberration,aberration,"конвергенция к различным фосам, через линз или зеркало, излучений света, вытекающих из одной и той же точки, или отклонение таких лучей от одного фокуса; называемая сферическая аберрация, когда из-за сферической формы линза или зеркала такая форма дает разные фосы для центральных и маргинальных лучей; и хроматическая аберрация, когда из-за разных охлаждаемости цветных лучей спектра,"
aberration,-,"проход крови или иной жидкости в части, не соответствующие ей."
aberration,Непреднамеренный,"создание непреднамеренного эффекта, смотря на инструмент, как когда стрельба предназначена для взглядов А и ударов Б."
aberrational,аберрационное,характеризуется аберрацией.
aberuncate,аберункат,чтобы вывести.
aberuncator,Аберункатор,Машина для разведки.
abetted,"Похоже,",от Абет
abetting,Подстрекательство,от Abet
abet,Побуждать,"подтолкнуть или поощрять с помощью помощи или контента; — использовать в плохом смысле лиц и действий; как, чтобы обрести злодеяния; чтобы обрести одного в его злых курсах; чтобы обрести обрат; чтобы обрести восстание."
abet,"Поддерживать,","поддерживать, поддерживать или помогать; поддерживать; — в хорошем смысле."
abet,-,"способствовать, как помощник или стимулятор, совершению преступления."
abet,"Пособничество,",акт абета; помощь.
abetment,"Пособничество,","акт аббатства; как, аббатство предательства, преступления и т. д."
abettal,Пособничество.,абетмент.
abetter,Alt.Alt.Alt.Abitator,Alt. of Abettor
abettor,Подстрекательство:,"тот, кто абет; инстигатор преступления или преступника."
abevacuation,-,частичная эвакуация.
abeyance,Ожидание;,ожидаемость; условие неопределенности.
abeyance,Приостановление,суспензия; временное подавление.
abeyancy,никчемный,«абеянство».
abeyant,Находясь,быть в состоянии абеянта.
abhal,Ягоды,Яйца вида кипреса в Восточной Индии.
abhominable,никчёмный,«абонируемого».
abhominal,абхоминальный,Нечеловеческий.
abhorred,Возненавидел,Abhor
abhorring,Отвратительное,от Абхора
abhor,Отвратительно,сократить назад с отвращением; смотреть с ужасом или ненавистью; чувствовать чрезмерное отвращение к нему; ненавидеть крайность; отвращаться.
abhor,Ненависть,чтобы наполнить ужасом или ненавистью.
abhor,Отвращение,протестовать против; торжественно отвергать.
abhor,Отвратительно,"сократить назад с ужасом, ненавистью или ненавистью; быть противоположным или отвратительным;"
abhorrence,Отвратительное,крайняя ненависть или ненависть; чувство крайней ненависти.
abhorrency,Отвратительное,абортус.
abhorrent,Отвратительное,"отвращение; ненависть; имение или демонстрация отвращения; отвращение; следовательно, сильно против; как, отвратительные мысли."
abhorrent,Отвратительное,противоположный или отвратительный; несоответствующий; несоответствующий; - следующий.
abhorrent,Отвратительно.,отвратимого.
abhorrently,Отвратительно,с абсортируем.
abhorrer,"Ненавистник,","тот, кто абсорбирает."
abhorrible,Неприятность,отвратимо.
abhorring,Ненавидеть,ненависть.
abhorring,Ненавижу,Объект отвращения.
abib,Первый,"Первый месяц еврейского церковного года, соответствующий, как сообщается, нашему апрелю."
abidance,Обитель,состояние пребывания; пребывание; непрерывность; соблюдение (с).
abode,Местопребывание,от «абдо»
abid,Абидэ,от Абида
abiding,Пребывание,от Абида
abide,Оставайтесь,ждать; перерывать; откладывать.
abide,Оставайтесь,"остаться; продолжать в месте; иметь место пребывания; жить; жить; - с перед лицом, и, как правило, с на месте или в месте."
abide,Оставаться,оставаться стабильным или фиксированным в определенном состоянии или состоянии; продолжать; оставаться.
abide,"Ждите,","ждать; быть готовым; ждать; наблюдать; как, я удерживаю свое время."
abide,"Претерпеть,",терпеть; поддерживать; подчиниться.
abide,"Терпим,",терпеливо носить; терпеть; подниматься.
abide,Не,"для того, чтобы противостоять последствиям; ответить за; страдать за."
abider,"Пребывающий,","тот, кто пребывает или продолжает."
abider,Непрестанно,"человек, который живет; резидент."
abiding,"Непрерывно,",Продолжительное; Продолжительное.
abidingly,Непрерывно.,Постоянно.
abies,Род,"род кониферных деревьев, правильно названный Фиром, как балсам и серебряный огонь."
abietene,abietene,"волатильное масло, дестилированное из резина или бальзама нот-пина (Pinus sabiniana) Калифорнии."
abietic,abietic,"от или относящегося к дереву или его продуктам; как, абиэтическая кислота, также называется сильвической кислотой."
abietin,Абьетинский,Alt. of Abietine
abietine,абиетин,"резин, полученный из Страсбургского турпентина или канадского бальзама. он без вкуса или запаха, не растворен в воде, но растворен в алкоголе (особенно в точке горения), в сильной ацетической кислоте и в эфире."
abietinic,abietinic,"от или относятся к абиэтину; как, абиэтиновая кислота."
abietite,abietite,"вещество, похожее на маннит, найдено в иглах общей серебряной плиты Европы (Abies pectinata)."
abigail,Эбигейл,Женщина ждет.
abiliment,Принадлежность.,Умения.
abilities,способности,способности
ability,::,"качество или состояние способности; способность выполнять, будь то физические, нравственные, интеллектуальные, обычные или юридические; способность; умение или компетентность в выполнении; достаточность силы, навыков, ресурсов и т. д.; — в плюральном, факультете, таланте."
abime,abime,Alt. of Abyme
abyme,А,Абис.
abiogenesis,abiodenesis,"предполагаемое происхождение живых организмов из неживой материи; такой генез, как не предполагает действия живых родителей; спонтанное рождение; — также называется abiogeny, и противоречит биогенезе."
abiogenetic,abiogenetic,от или относящегося к абиогенезе.
abiogenist,▪,"человек, который считает, что жизнь может быть произведена независимо от прецедента."
abiogenous,abyonternal,произведенное спонтанным поколением.
abiogeny,abiogeny,"Точно так же, как и абиогенез."
abiological,а,относится к изучению неживых вещей.
abirritant,никчемное,"препарат, который уменьшает раздражение."
abirritate,абсорбировать,для снижения чувствительности; для ослабления.
abirritation,abirrition,"патологическое состояние, противоположное раздражению; слабость; желание к силе; астения."
abirritative,абразивный,характеризуется абиритацией или слабостью.
abit,"никчёмно,",3d петь. pres. of Abide.
abject,"Скромный,",Скачать вниз; низкий уровень.
abject,Скромный,"подъем к состоянию закона; в духе или надежде; деградация; рабство; грубость; отвратимость; как, абжект поведение, счастье, мысли."
